index,Source airport,Destination airport,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude
44530,AUA,AMS,12.501,-70.015,52.309,4.764
44531,AUA,CUR,12.501,-70.015,12.189,-68.96
44532,BON,AMS,12.131,-68.268,52.309,4.764
44533,BON,CUR,12.131,-68.268,12.189,-68.96
44534,CUN,AMS,21.036,-86.877,52.309,4.764
44535,CUR,AMS,12.189,-68.96,52.309,4.764
44536,CUR,AUA,12.189,-68.96,12.501,-70.015
44537,CUR,BON,12.189,-68.96,12.131,-68.268
44538,HOG,CUN,20.786,-76.315,21.036,-86.877
44539,MBJ,AMS,18.504,-77.913,52.309,4.764
44540,MIA,AMS,25.793,-80.291,52.309,4.764
44541,POP,PUJ,19.757,-70.57,18.567,-68.363
44542,PUJ,AMS,18.567,-68.363,52.309,4.764
44543,PUJ,MBJ,18.567,-68.363,18.504,-77.913
44545,VRA,CUN,23.034,-81.435,21.036,-86.877
44546,AMM,VIE,31.722,35.993,48.11,16.57
44547,AMS,VIE,52.309,4.764,48.11,16.57
44548,ARN,VIE,59.652,17.919,48.11,16.57
44550,AYT,VIE,36.901,30.792,48.11,16.57
44551,BCN,VIE,41.297,2.078,48.11,16.57
44552,BEG,VIE,44.818,20.309,48.11,16.57
44553,BKK,VIE,13.912,100.607,48.11,16.57
44554,BLQ,VIE,44.534,11.29,48.11,16.57
44555,BRU,VIE,50.902,4.499,48.11,16.57
44557,BUD,VIE,47.437,19.256,48.11,16.57
44558,CAI,VIE,30.122,31.406,48.11,16.57
44559,CDG,VIE,49.013,2.55,48.11,16.57
44560,CGN,KLU,50.866,7.143,46.65,14.333
44561,CGN,SZG,50.866,7.143,47.793,13.004
44562,CGN,VIE,50.866,7.143,48.11,16.57
44563,CHQ,VIE,35.532,24.149,48.11,16.57
44564,CLJ,VIE,46.785,23.686,48.11,16.57
44565,CPH,VIE,55.618,12.656,48.11,16.57
44566,CTA,VIE,37.467,15.066,48.11,16.57
44567,DBV,VIE,42.561,18.268,48.11,16.57
44568,DEL,VIE,28.566,77.103,48.11,16.57
44569,DLM,VIE,36.713,28.793,48.11,16.57
44571,DNK,VIE,48.357,35.102,48.11,16.57
44572,DUS,GRZ,51.289,6.767,47.0,15.433
44573,DUS,LNZ,51.289,6.767,48.233,14.183
44574,DUS,VIE,51.289,6.767,48.11,16.57
44575,DXB,VIE,25.255,55.364,48.11,16.57
44577,EVN,VIE,40.148,44.397,48.11,16.57
44578,FCO,VIE,41.813,12.253,48.11,16.57
44579,FLR,VIE,43.81,11.205,48.11,16.57
44581,FRA,GRZ,50.026,8.543,47.0,15.433
44582,FRA,INN,50.026,8.543,47.26,11.344
44583,FRA,LNZ,50.026,8.543,48.233,14.183
44584,FRA,SZG,50.026,8.543,47.793,13.004
44585,FRA,VIE,50.026,8.543,48.11,16.57
44586,GRZ,DUS,47.0,15.433,51.289,6.767
44587,GRZ,FRA,47.0,15.433,50.026,8.543
44588,GRZ,MUC,47.0,15.433,48.354,11.786
44589,GRZ,STR,47.0,15.433,48.69,9.222
44590,GRZ,VIE,47.0,15.433,48.11,16.57
44591,GVA,VIE,46.238,6.109,48.11,16.57
44593,HAJ,VIE,52.461,9.685,48.11,16.57
44594,HAM,KLU,53.63,9.988,46.65,14.333
44595,HAM,VIE,53.63,9.988,48.11,16.57
44596,HER,VIE,35.339,25.18,48.11,16.57
44597,HRG,VIE,27.184,33.798,48.11,16.57
44599,IAD,VIE,38.944,-77.456,48.11,16.57
44600,IAS,VIE,47.179,27.62,48.11,16.57
44602,INN,FRA,47.26,11.344,50.026,8.543
44603,INN,VIE,47.26,11.344,48.11,16.57
44604,IST,VIE,40.977,28.821,48.11,16.57
44605,JFK,VIE,40.64,-73.779,48.11,16.57
44606,JTR,VIE,36.4,25.479,48.11,16.57
44607,KBP,VIE,50.345,30.895,48.11,16.57
44608,KIV,VIE,46.928,28.931,48.11,16.57
44609,KLU,CGN,46.65,14.333,50.866,7.143
44610,KLU,HAM,46.65,14.333,53.63,9.988
44611,KLU,TXL,46.65,14.333,52.559,13.287
44612,KLU,VIE,46.65,14.333,48.11,16.57
44613,KRK,VIE,50.078,19.785,48.11,16.57
44614,KRR,VIE,45.035,39.172,48.11,16.57
44615,KSC,VIE,48.663,21.241,48.11,16.57
44616,LCA,VIE,34.875,33.625,48.11,16.57
44617,LED,VIE,59.8,30.265,48.11,16.57
44618,LEJ,VIE,51.424,12.236,48.11,16.57
44619,LHR,VIE,51.477,-0.461,48.11,16.57
44620,LIS,VIE,38.781,-9.136,48.11,16.57
44621,LJU,VIE,46.224,14.457,48.11,16.57
44622,LNZ,DUS,48.233,14.183,51.289,6.767
